Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Unai Simón,26,Portero,España,"25,00 mill. €"
Julen Agirrezabala,22,Portero,España,"5,00 mill. €"
Ibon Ispizua,20,Portero,España,100 mil €
Ander Iru,24,Portero,España,100 mil €
Yeray Álvarez,28,Defensa central,España,"15,00 mill. €"
Dani Vivian,23,Defensa central,España,"14,00 mill. €"
Iñigo Martínez,32,Defensa central,España,"10,00 mill. €"
Aitor Paredes,23,Defensa central,España,"1,00 mill. €"
Yuri Berchiche,33,Lateral izquierdo,España,"2,00 mill. €"
Mikel Balenziaga,35,Lateral izquierdo,España,500 mil €
Iñigo Lekue,30,Lateral derecho,España,"3,00 mill. €"
Óscar de Marcos,34,Lateral derecho,España,"1,80 mill. €"
Ander Capa,31,Lateral derecho,España,"1,80 mill. €"
Mikel Vesga,30,Pivote,España,"6,00 mill. €"
Peru Nolaskoain,24,Pivote,España,"1,00 mill. €"
Unai Vencedor,22,Mediocentro,España,"9,00 mill. €"
Oier Zarraga,24,Mediocentro,España,"3,00 mill. €"
Ander Herrera,33,Mediocentro,España,"2,50 mill. €"
Dani García,33,Mediocentro,España,"2,00 mill. €"
Junior Bita,18,Mediocentro,España,50 mil €
Oihan Sancet,23,Mediocentro ofensivo,España,"30,00 mill. €"
Iker Muniain,30,Mediocentro ofensivo,España,"9,00 mill. €"
Unai Gómez,20,Mediocentro ofensivo,España,100 mil €
Nico Williams,20,Extremo izquierdo,España,"30,00 mill. €"
Álex Berenguer,27,Extremo izquierdo,España,"15,00 mill. €"
Jon Morcillo,24,Extremo izquierdo,España,"3,00 mill. €"
Adu Ares,21,Extremo izquierdo,España,500 mil €
Iñaki Williams,29,Extremo derecho,Ghana,"25,00 mill. €"
Asier Villalibre,25,Delantero centro,España,"2,50 mill. €"
Raúl García,36,Delantero centro,España,"2,50 mill. €"
Gorka Guruzeta,26,Delantero centro,España,"2,00 mill. €"
