Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Jan Oblak,30,Portero,Eslovenia,"35,00 mill. €"
Ivo Grbic,27,Portero,Croacia,"3,50 mill. €"
Alejandro Iturbe,19,Portero,España,150 mil €
Antonio Gomis,20,Portero,España,150 mil €
Sergio Mestre,18,Portero,España,Desconocido
José María Giménez,28,Defensa central,Uruguay,"35,00 mill. €"
Mario Hermoso,28,Defensa central,España,"20,00 mill. €"
Stefan Savic,32,Defensa central,Montenegro,"6,00 mill. €"
Axel Witsel,34,Defensa central,Bélgica,"5,00 mill. €"
Felipe,34,Defensa central,Brasil,"2,00 mill. €"
Marco Moreno,22,Defensa central,España,200 mil €
Ilias Kostis,20,Defensa central,Grecia,100 mil €
Reinildo Mandava,29,Lateral izquierdo,Mozambique,"25,00 mill. €"
Renan Lodi,25,Lateral izquierdo,Brasil,"20,00 mill. €"
Sergio Reguilón,26,Lateral izquierdo,España,"10,00 mill. €"
Adrián Corral,20,Lateral izquierdo,España,50 mil €
Nahuel Molina,25,Lateral derecho,Argentina,"35,00 mill. €"
Matt Doherty,31,Lateral derecho,Irlanda,"5,00 mill. €"
Sergio Diez,19,Lateral derecho,España,200 mil €
Geoffrey Kondogbia,30,Pivote,República Centroafricana,"14,00 mill. €"
Rodrigo de Paul,29,Mediocentro,Argentina,"40,00 mill. €"
Marcos Llorente,28,Mediocentro,España,"35,00 mill. €"
Koke,31,Mediocentro,España,"16,00 mill. €"
Saúl Ñíguez,28,Mediocentro,España,"10,00 mill. €"
Pablo Barrios,20,Mediocentro,España,"5,00 mill. €"
Alberto Moreno,21,Mediocentro,España,150 mil €
Aitor Gismera,19,Mediocentro,España,150 mil €
Thomas Lemar,27,Mediocentro ofensivo,Francia,"22,00 mill. €"
Antonio Alemán,22,Mediocentro ofensivo,España,Desconocido
João Félix,23,Extremo izquierdo,Portugal,"50,00 mill. €"
Yannick Carrasco,29,Extremo izquierdo,Bélgica,"25,00 mill. €"
Salim El Jebari,19,Extremo izquierdo,Marruecos,Desconocido
Ángel Correa,28,Extremo derecho,Argentina,"30,00 mill. €"
Matheus Cunha,24,Delantero centro,Brasil,"25,00 mill. €"
Antoine Griezmann,32,Delantero centro,Francia,"25,00 mill. €"
Álvaro Morata,30,Delantero centro,España,"20,00 mill. €"
Memphis Depay,29,Delantero centro,Países Bajos,"14,00 mill. €"
Carlos Martín,21,Delantero centro,España,500 mil €
Diego Bri,20,Delantero centro,España,150 mil €
Abde Raihani,19,Delantero centro,Marruecos,Desconocido
