Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Agustín Marchesín,35,Portero,Argentina,"2,00 mill. €"
Iván Villar,25,Portero,España,"2,00 mill. €"
Christian Joel,23,Portero,Cuba,500 mil €
Diego Alves,38,Portero,Brasil,300 mil €
Coke Carrillo,21,Portero,España,100 mil €
Ruly García,23,Portero,España,50 mil €
Joseph Aidoo,27,Defensa central,Ghana,"8,00 mill. €"
Unai Núñez,26,Defensa central,España,"6,00 mill. €"
Carlos Domínguez,22,Defensa central,España,800 mil €
Sergio Barcia,22,Defensa central,España,300 mil €
Javi Domínguez,22,Defensa central,España,200 mil €
Javi Galán,28,Lateral izquierdo,España,"12,00 mill. €"
Fernando Medrano,23,Lateral izquierdo,España,200 mil €
Tincho,20,Lateral izquierdo,España,150 mil €
Hugo Mallo,32,Lateral derecho,España,"3,00 mill. €"
Óscar Mingueza,24,Lateral derecho,España,"2,50 mill. €"
Kevin Vázquez,30,Lateral derecho,España,"1,00 mill. €"
Renato Tapia,27,Pivote,Perú,"6,00 mill. €"
Gabri Veiga,21,Mediocentro,España,"30,00 mill. €"
Fran Beltrán,24,Mediocentro,España,"15,00 mill. €"
Luca de la Torre,25,Mediocentro,Estados Unidos,"3,00 mill. €"
Hugo Sotelo,19,Mediocentro,España,150 mil €
Óscar Rodríguez,25,Mediocentro ofensivo,España,"8,00 mill. €"
Williot Swedberg,19,Mediocentro ofensivo,Suecia,"3,00 mill. €"
Miguel Baeza,23,Mediocentro ofensivo,España,900 mil €
Franco Cervi,29,Extremo izquierdo,Argentina,"3,00 mill. €"
Hugo Álvarez,19,Extremo izquierdo,España,200 mil €
Carles Pérez,25,Extremo derecho,España,"5,00 mill. €"
Augusto Solari,31,Extremo derecho,Argentina,"1,50 mill. €"
Miguel Rodríguez,20,Extremo derecho,España,"1,00 mill. €"
Jørgen Strand Larsen,23,Delantero centro,Noruega,"11,00 mill. €"
Iago Aspas,35,Delantero centro,España,"6,00 mill. €"
Haris Seferovic,31,Delantero centro,Suiza,"4,00 mill. €"
Gonçalo Paciência,28,Delantero centro,Portugal,"2,00 mill. €"
Pablo Durán,22,Delantero centro,España,250 mil €
Fran López,21,Delantero centro,España,Desconocido
