Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Edgar Badia,31,Portero,España,"3,00 mill. €"
Axel Werner,27,Portero,Argentina,800 mil €
Juanpe Navarro,24,Portero,España,Desconocido
Jesús López,20,Portero,España,Desconocido
Luismi Quirant,19,Portero,España,Desconocido
Lisandro Magallán,29,Defensa central,Argentina,"1,80 mill. €"
Enzo Roco,30,Defensa central,Chile,"1,50 mill. €"
Diego González,28,Defensa central,España,"1,50 mill. €"
Pedro Bigas,33,Defensa central,España,"1,00 mill. €"
John Donald,22,Defensa central,España,"1,00 mill. €"
Federico Fernández,34,Defensa central,Argentina,700 mil €
Gonzalo Verdú,34,Defensa central,España,700 mil €
Javi Pamies,20,Defensa central,España,Desconocido
Manuel Cocca,20,Defensa central,Argentina,Desconocido
Johan Mojica,30,Lateral izquierdo,Colombia,"3,00 mill. €"
Lautaro Blanco,24,Lateral izquierdo,Argentina,"2,80 mill. €"
Nicolás Fernández Mercau,23,Lateral izquierdo,Argentina,"2,00 mill. €"
Carlos Clerc,31,Lateral izquierdo,España,"1,50 mill. €"
José Ángel Carmona,21,Lateral derecho,España,"4,00 mill. €"
Pol Lirola,25,Lateral derecho,España,"2,00 mill. €"
Helibelton Palacios,30,Lateral derecho,Colombia,"1,20 mill. €"
Carles Marco,23,Lateral derecho,España,Desconocido
Gerard Gumbau,28,Pivote,España,"3,50 mill. €"
Omar Mascarell,30,Pivote,España,"3,00 mill. €"
Raúl Guti,26,Mediocentro,España,"2,50 mill. €"
Domingos Quina,23,Mediocentro,Portugal,"1,80 mill. €"
Pape Cheikh,25,Mediocentro,Senegal,900 mil €
Branislav Knezevic,20,Mediocentro,Serbia,Desconocido
Alejandro Alfaro,21,Mediocentro,España,Desconocido
Rodrigo Mendoza,18,Mediocentro,España,Desconocido
Randy Nteka,25,Mediocentro ofensivo,Francia,"1,80 mill. €"
Javier Pastore,34,Mediocentro ofensivo,Argentina,500 mil €
Pere Milla,30,Extremo izquierdo,España,"3,00 mill. €"
Tete Morente,26,Extremo izquierdo,España,"2,50 mill. €"
Fidel,33,Extremo izquierdo,España,"1,00 mill. €"
Álex Collado,24,Extremo derecho,España,"3,00 mill. €"
Josan,33,Extremo derecho,España,"1,00 mill. €"
Lucas Boyé,27,Delantero centro,Argentina,"10,00 mill. €"
Ezequiel Ponce,26,Delantero centro,Argentina,"2,50 mill. €"
Roger Martí,32,Delantero centro,España,"2,00 mill. €"
