Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Marc-André ter Stegen,31,Portero,Alemania,"35,00 mill. €"
Iñaki Peña,24,Portero,España,"4,00 mill. €"
Arnau Tenas,22,Portero,España,"2,00 mill. €"
Ander Astralaga,19,Portero,España,Desconocido
Ronald Araujo,24,Defensa central,Uruguay,"70,00 mill. €"
Jules Koundé,24,Defensa central,Francia,"60,00 mill. €"
Andreas Christensen,27,Defensa central,Dinamarca,"40,00 mill. €"
Eric García,22,Defensa central,España,"10,00 mill. €"
Chadi Riad,20,Defensa central,Marruecos,500 mil €
Gerard Piqué,36,Defensa central,España,Desconocido
Alejandro Balde,19,Lateral izquierdo,España,"50,00 mill. €"
Marcos Alonso,32,Lateral izquierdo,España,"5,00 mill. €"
Jordi Alba,34,Lateral izquierdo,España,"5,00 mill. €"
Álex Valle,19,Lateral izquierdo,España,500 mil €
Héctor Bellerín,28,Lateral derecho,España,"8,00 mill. €"
Sergio Busquets,34,Pivote,España,"5,00 mill. €"
Álvaro Sanz,22,Pivote,España,700 mil €
Marc Casadó,19,Pivote,España,300 mil €
Pau Prim,17,Pivote,España,Desconocido
Pedri,20,Mediocentro,España,"100,00 mill. €"
Gavi,18,Mediocentro,España,"90,00 mill. €"
Frenkie de Jong,26,Mediocentro,Países Bajos,"75,00 mill. €"
Franck Kessié,26,Mediocentro,Costa de Marfil,"25,00 mill. €"
Miralem Pjanic,33,Mediocentro,Bosnia y Herzegovina,"6,00 mill. €"
Sergi Roberto,31,Mediocentro,España,"5,00 mill. €"
Pablo Torre,20,Mediocentro,España,"3,00 mill. €"
Aleix Garrido,19,Mediocentro,España,300 mil €
Unai Hernández,18,Mediocentro,España,Desconocido
Ansu Fati,20,Extremo izquierdo,España,"35,00 mill. €"
Ferran Torres,23,Extremo izquierdo,España,"30,00 mill. €"
Estanis Pedrola,19,Extremo izquierdo,España,500 mil €
Ángel Alarcón,19,Extremo izquierdo,España,Desconocido
Dani Rodríguez,17,Extremo izquierdo,España,Desconocido
Ousmane Dembélé,26,Extremo derecho,Francia,"60,00 mill. €"
Raphinha,26,Extremo derecho,Brasil,"60,00 mill. €"
Ilias Akhomach,19,Extremo derecho,Marruecos,"3,00 mill. €"
Lamine Yamal,15,Extremo derecho,España,Desconocido
Robert Lewandowski,34,Delantero centro,Polonia,"30,00 mill. €"
Memphis Depay,29,Delantero centro,Países Bajos,"14,00 mill. €"
Pierre-Emerick Aubameyang,34,Delantero centro,Gabón,"4,00 mill. €"
Marc Guiu,17,Delantero centro,España,Desconocido
