Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
David Soria,30,Portero,España,"8,00 mill. €"
Diego Conde,24,Portero,España,300 mil €
Kiko Casilla,36,Portero,España,300 mil €
Vicente Bellmunt,23,Portero,España,Desconocido
Djené,31,Defensa central,Togo,"5,00 mill. €"
Gastón Álvarez,23,Defensa central,Uruguay,"5,00 mill. €"
Domingos Duarte,28,Defensa central,Portugal,"5,00 mill. €"
Omar Alderete,26,Defensa central,Paraguay,"4,00 mill. €"
Stefan Mitrovic,33,Defensa central,Serbia,"2,00 mill. €"
Álex Revuelta,23,Defensa central,España,Desconocido
Pablo Ramirez,20,Defensa central,España,Desconocido
Fabrizio Angileri,29,Lateral izquierdo,Argentina,"2,00 mill. €"
Jordan Amavi,29,Lateral izquierdo,Francia,"2,00 mill. €"
Koffi,21,Lateral izquierdo,Ghana,200 mil €
Gorka Rivera,18,Lateral izquierdo,España,Desconocido
Juan Iglesias,24,Lateral derecho,España,"3,50 mill. €"
Damián Suárez,35,Lateral derecho,Uruguay,"1,00 mill. €"
Alex Rodríguez,21,Lateral derecho,España,50 mil €
Ángel Algobia,24,Pivote,España,"1,50 mill. €"
Carles Aleñá,25,Mediocentro,España,"9,00 mill. €"
Mauro Arambarri,27,Mediocentro,Uruguay,"9,00 mill. €"
Nemanja Maksimovic,28,Mediocentro,Serbia,"6,00 mill. €"
Luis Milla,28,Mediocentro,España,"4,00 mill. €"
Gonzalo Villar,25,Mediocentro,España,"2,80 mill. €"
Jaime Seoane,26,Mediocentro,España,"2,50 mill. €"
John Joe Patrick Finn,19,Mediocentro,Irlanda,500 mil €
Santi García,21,Mediocentro ofensivo,España,50 mil €
Moi Parra,21,Extremo izquierdo,España,Desconocido
Portu,31,Extremo derecho,España,"3,50 mill. €"
Munir El Haddadi,27,Extremo derecho,Marruecos,"3,50 mill. €"
Enes Ünal,26,Delantero centro,Turquía,"25,00 mill. €"
Borja Mayoral,26,Delantero centro,España,"9,00 mill. €"
Juanmi Latasa,22,Delantero centro,España,"3,00 mill. €"
Jaime Mata,34,Delantero centro,España,"1,20 mill. €"
