Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Paulo Gazzaniga,31,Portero,Argentina,"3,00 mill. €"
Juan Carlos,35,Portero,España,300 mil €
Toni Fuidias,22,Portero,España,300 mil €
Lluc Matas,19,Portero,España,Desconocido
Santiago Bueno,24,Defensa central,Uruguay,"8,00 mill. €"
David López,33,Defensa central,España,"2,00 mill. €"
Alexander Callens,31,Defensa central,Perú,"1,80 mill. €"
Bernardo Espinosa,33,Defensa central,Colombia,"1,50 mill. €"
Juanpe,32,Defensa central,España,"1,50 mill. €"
Eric Monjonell,21,Defensa central,España,300 mil €
Biel Farrés,21,Defensa central,España,Desconocido
Miguel Gutiérrez,21,Lateral izquierdo,España,"10,00 mill. €"
Javi Hernández,25,Lateral izquierdo,España,"2,50 mill. €"
Arnau Martínez,20,Lateral derecho,España,"15,00 mill. €"
Yan Couto,21,Lateral derecho,Brasil,"4,00 mill. €"
Oriol Romeu,31,Pivote,España,"5,00 mill. €"
Ramón Terrats,22,Pivote,España,"4,00 mill. €"
Ibrahima Kébé,22,Pivote,Malí,500 mil €
Aleix García,26,Mediocentro,España,"10,00 mill. €"
Yangel Herrera,25,Mediocentro,Venezuela,"5,00 mill. €"
Álex Sala,22,Mediocentro,España,200 mil €
Iván Martín,24,Mediocentro ofensivo,España,"3,00 mill. €"
Reinier,21,Mediocentro ofensivo,Brasil,"2,00 mill. €"
Borja García,32,Mediocentro ofensivo,España,"1,00 mill. €"
Samu Saiz,32,Mediocentro ofensivo,España,900 mil €
Ricard Artero,20,Mediocentro ofensivo,España,Desconocido
Rodrigo Riquelme,23,Extremo izquierdo,España,"12,00 mill. €"
Toni Villa,28,Extremo izquierdo,España,"2,50 mill. €"
Óscar Ureña,20,Extremo izquierdo,República Dominicana,400 mil €
Joel Roca,18,Extremo izquierdo,España,Desconocido
Viktor Tsygankov,25,Extremo derecho,Ucrania,"22,00 mill. €"
Valery Fernández,23,Extremo derecho,España,"1,50 mill. €"
Manu Vallejo,26,Mediapunta,España,"2,40 mill. €"
Taty Castellanos,24,Delantero centro,Argentina,"15,00 mill. €"
Cristhian Stuani,36,Delantero centro,Uruguay,"2,00 mill. €"
Pau Víctor,21,Delantero centro,España,300 mil €
Dawda Camara,20,Delantero centro,Mauritania,Desconocido
