Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Sergio Herrera,30,Portero,España,"8,00 mill. €"
Aitor Fernández,32,Portero,España,"3,00 mill. €"
Juan Pérez,26,Portero,España,600 mil €
Darío Ramos,23,Portero,España,200 mil €
Pablo Valencia,22,Portero,España,200 mil €
Yoel Ramírez,21,Portero,España,50 mil €
David García,29,Defensa central,España,"20,00 mill. €"
Unai García,31,Defensa central,España,"2,50 mill. €"
Aridane Hernández,34,Defensa central,España,"1,00 mill. €"
Jorge Herrando,22,Defensa central,España,400 mil €
Manu Sánchez,22,Lateral izquierdo,España,"10,00 mill. €"
Juan Cruz,30,Lateral izquierdo,España,"2,50 mill. €"
Nacho Vidal,28,Lateral derecho,España,"5,00 mill. €"
Rubén Peña,31,Lateral derecho,España,"2,50 mill. €"
Diego Moreno,22,Lateral derecho,España,800 mil €
Lucas Torró,28,Pivote,España,"8,00 mill. €"
Iker Muñoz,20,Pivote,España,500 mil €
Jon Moncayola,25,Mediocentro,España,"12,00 mill. €"
Darko Brasanac,31,Mediocentro,Serbia,"2,00 mill. €"
Pablo Ibáñez,24,Mediocentro,España,"1,50 mill. €"
Aimar Oroz,21,Mediocentro ofensivo,España,"15,00 mill. €"
Roberto Torres,34,Mediocentro ofensivo,España,"1,20 mill. €"
Javi Martínez,23,Mediocentro ofensivo,España,"1,00 mill. €"
Abde Ezzalzouli,21,Extremo izquierdo,Marruecos,"15,00 mill. €"
Moi Gómez,29,Extremo izquierdo,España,"10,00 mill. €"
Rubén García,29,Extremo izquierdo,España,"6,00 mill. €"
Kike Barja,26,Extremo derecho,España,"4,00 mill. €"
Iker Benito,20,Extremo derecho,España,300 mil €
Chimy Ávila,29,Delantero centro,Argentina,"9,00 mill. €"
Ante Budimir,31,Delantero centro,Croacia,"6,00 mill. €"
Kike García,33,Delantero centro,España,"1,80 mill. €"
