Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Benjamin Lecomte,32,Portero,Francia,"4,00 mill. €"
Fernando Pacheco,31,Portero,España,"2,50 mill. €"
Álvaro Fernández,25,Portero,España,"2,50 mill. €"
Joan García,22,Portero,España,400 mil €
Ángel Fortuño,21,Portero,España,300 mil €
César Montes,26,Defensa central,México,"8,00 mill. €"
Leandro Cabrera,32,Defensa central,Uruguay,"2,50 mill. €"
Fernando Calero,27,Defensa central,España,"2,00 mill. €"
Sergi Gómez,31,Defensa central,España,"2,00 mill. €"
Simo Keddari,18,Defensa central,España,500 mil €
Brian Oliván,29,Lateral izquierdo,España,"6,00 mill. €"
Adrià Pedrosa,25,Lateral izquierdo,España,"5,00 mill. €"
Ronaël Pierre-Gabriel,25,Lateral derecho,Francia,"3,50 mill. €"
Óscar Gil,25,Lateral derecho,España,"3,00 mill. €"
Rubén Sánchez,22,Lateral derecho,España,700 mil €
Omar El Hilali,19,Lateral derecho,Marruecos,500 mil €
Vini Souza,24,Pivote,Brasil,"6,00 mill. €"
Sergi Darder,29,Mediocentro,España,"16,00 mill. €"
Edu Expósito,26,Mediocentro,España,"4,00 mill. €"
Keidi Bare,25,Mediocentro,Albania,"3,00 mill. €"
José Gragera,23,Mediocentro,España,"2,50 mill. €"
Pol Lozano,23,Mediocentro,España,"1,50 mill. €"
Roger Martínez,19,Mediocentro,España,400 mil €
Dani Villahermosa,22,Mediocentro,España,250 mil €
Nico Melamed,22,Mediocentro ofensivo,España,"6,00 mill. €"
Denis Suárez,29,Mediocentro ofensivo,España,"5,00 mill. €"
Javi Puado,25,Extremo izquierdo,España,"8,00 mill. €"
José Carlos Lazo,27,Extremo izquierdo,España,"2,50 mill. €"
Luca Koleosho,18,Extremo izquierdo,Italia,"1,00 mill. €"
Kenneth Soler,22,Extremo izquierdo,España,100 mil €
Adrián Embarba,31,Extremo derecho,España,"2,50 mill. €"
Aleix Vidal,33,Extremo derecho,España,"1,50 mill. €"
Joselu,33,Delantero centro,España,"6,00 mill. €"
Martin Braithwaite,32,Delantero centro,Dinamarca,"5,00 mill. €"
Dani Gómez,24,Delantero centro,España,"1,50 mill. €"
Nabil Touaizi,22,Delantero centro,Marruecos,200 mil €
