Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Predrag Rajkovic,27,Portero,Serbia,"10,00 mill. €"
Dominik Greif,26,Portero,Eslovaquia,"1,50 mill. €"
Leo Román,22,Portero,España,300 mil €
Pere García,21,Portero,España,25 mil €
Martin Valjent,27,Defensa central,Eslovaquia,"4,50 mill. €"
Antonio Raíllo,31,Defensa central,España,"4,00 mill. €"
José Copete,23,Defensa central,España,"3,50 mill. €"
Dennis Hadzikadunic,24,Defensa central,Bosnia y Herzegovina,"3,00 mill. €"
Matija Nastasic,30,Defensa central,Serbia,"1,50 mill. €"
Franco Russo,28,Defensa central,Argentina,800 mil €
Benjamín Garay,23,Defensa central,Argentina,100 mil €
Josep Gayá,22,Defensa central,España,100 mil €
Ludwig Augustinsson,29,Lateral izquierdo,Suecia,"2,50 mill. €"
Braian Cufré,26,Lateral izquierdo,Argentina,"1,20 mill. €"
Jaume Costa,35,Lateral izquierdo,España,"1,20 mill. €"
Marcos Fernández,19,Lateral izquierdo,España,25 mil €
Pablo Maffeo,25,Lateral derecho,Argentina,"8,00 mill. €"
Giovanni González,28,Lateral derecho,Uruguay,"2,00 mill. €"
Miguelito,22,Lateral derecho,España,50 mil €
Rodrigo Battaglia,31,Pivote,Argentina,"1,50 mill. €"
Manu Morlanes,24,Mediocentro,España,"4,00 mill. €"
Iñigo Ruiz de Galarreta,29,Mediocentro,España,"3,00 mill. €"
Iddrisu Baba,27,Mediocentro,Ghana,"3,00 mill. €"
Antonio Sánchez,26,Mediocentro,España,"2,50 mill. €"
Clément Grenier,32,Mediocentro,Francia,800 mil €
Miquel Llabrés,23,Mediocentro,España,100 mil €
Luis Montiel,19,Mediocentro,España,25 mil €
Rubén Quintanilla,21,Mediocentro,España,25 mil €
Kang-in Lee,22,Mediocentro ofensivo,Corea del Sur,"22,00 mill. €"
Dani Rodríguez,35,Mediocentro ofensivo,España,"1,20 mill. €"
Amath Ndiaye,26,Extremo izquierdo,Senegal,"2,00 mill. €"
Lago Júnior,32,Extremo izquierdo,Costa de Marfil,900 mil €
Javi Llabrés,20,Extremo izquierdo,España,300 mil €
Tòfol Montiel,23,Extremo derecho,España,150 mil €
Vedat Muriqi,29,Delantero centro,Kosovo,"15,00 mill. €"
Tino Kadewere,27,Delantero centro,Zimbabue,"4,00 mill. €"
Abdón Prats,30,Delantero centro,España,"1,20 mill. €"
Ángel Rodríguez,36,Delantero centro,España,"1,00 mill. €"
