Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Stole Dimitrievski,29,Portero,Macedonia del Norte,"4,00 mill. €"
Miguel Ángel Morro,22,Portero,España,600 mil €
Diego López,41,Portero,España,300 mil €
Alejandro Catena,28,Defensa central,España,"8,00 mill. €"
Florian Lejeune,32,Defensa central,Francia,"4,00 mill. €"
Abdul Mumin,25,Defensa central,Ghana,"1,50 mill. €"
Esteban Saveljich,32,Defensa central,Montenegro,500 mil €
Fran García,23,Lateral izquierdo,España,"12,00 mill. €"
Pep Chavarría,25,Lateral izquierdo,España,"1,50 mill. €"
Iván Balliu,31,Lateral derecho,Albania,"4,00 mill. €"
Mario Hernández,24,Lateral derecho,España,600 mil €
Mario Suárez,36,Pivote,España,300 mil €
Santi Comesaña,26,Mediocentro,España,"7,50 mill. €"
Óscar Valentín,28,Mediocentro,España,"5,00 mill. €"
Unai López,27,Mediocentro,España,"3,50 mill. €"
Pathé Ciss,29,Mediocentro,Senegal,"3,00 mill. €"
Diego Méndez,19,Mediocentro,España,Desconocido
Óscar Trejo,35,Mediocentro ofensivo,Argentina,"3,00 mill. €"
Randy Nteka,25,Mediocentro ofensivo,Francia,"1,80 mill. €"
José Pozo,27,Mediocentro ofensivo,España,"1,00 mill. €"
Pablo Muñoz,19,Mediocentro ofensivo,España,Desconocido
Álvaro García,30,Extremo izquierdo,España,"6,00 mill. €"
Bebé,32,Extremo izquierdo,Cabo Verde,800 mil €
Isi Palazón,28,Extremo derecho,España,"12,00 mill. €"
Salvi Sánchez,32,Extremo derecho,España,"1,50 mill. €"
Sergio Camello,22,Delantero centro,España,"10,00 mill. €"
Raúl de Tomás,28,Delantero centro,España,"8,00 mill. €"
Radamel Falcao,37,Delantero centro,Colombia,"2,00 mill. €"
Andrés Martín,23,Delantero centro,España,"1,00 mill. €"
