Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Rui Silva,29,Portero,Portugal,"15,00 mill. €"
Dani Martín,24,Portero,España,"1,50 mill. €"
Claudio Bravo,40,Portero,Chile,"1,00 mill. €"
Fran Vieites,24,Portero,España,200 mil €
Germán García,19,Portero,España,Desconocido
Luiz Felipe,26,Defensa central,Italia,"15,00 mill. €"
Edgar González,26,Defensa central,España,"9,00 mill. €"
Germán Pezzella,32,Defensa central,Argentina,"5,00 mill. €"
Víctor Ruiz,34,Defensa central,España,"1,20 mill. €"
Félix Garreta,19,Defensa central,España,200 mil €
Ricardo Visus,22,Defensa central,España,150 mil €
Álex Moreno,30,Lateral izquierdo,España,"15,00 mill. €"
Abner,23,Lateral izquierdo,Brasil,"7,00 mill. €"
Juan Miranda,23,Lateral izquierdo,España,"7,00 mill. €"
Youssouf Sabaly,30,Lateral derecho,Senegal,"5,00 mill. €"
Martín Montoya,32,Lateral derecho,España,"1,20 mill. €"
Fran Delgado,21,Lateral derecho,España,350 mil €
Guido Rodríguez,29,Pivote,Argentina,"28,00 mill. €"
William Carvalho,31,Pivote,Portugal,"14,00 mill. €"
Paul Akouokou,25,Pivote,Costa de Marfil,"3,50 mill. €"
Andrés Guardado,36,Mediocentro,México,"1,50 mill. €"
Víctor Camarasa,29,Mediocentro,España,800 mil €
Quique Fernández,19,Mediocentro,España,150 mil €
Nabil Fekir,29,Mediocentro ofensivo,Francia,"20,00 mill. €"
Sergio Canales,32,Mediocentro ofensivo,España,"15,00 mill. €"
Rodri Sánchez,23,Mediocentro ofensivo,España,"8,00 mill. €"
Dani Pérez,17,Mediocentro ofensivo,España,300 mil €
Juanmi,30,Extremo izquierdo,España,"12,00 mill. €"
Ayoze Pérez,29,Extremo izquierdo,España,"6,00 mill. €"
José Alonso Lara,23,Extremo izquierdo,España,350 mil €
Luiz Henrique,22,Extremo derecho,Brasil,"15,00 mill. €"
Aitor Ruibal,27,Extremo derecho,España,"5,00 mill. €"
Rober González,22,Extremo derecho,España,"2,00 mill. €"
Joaquín,41,Extremo derecho,España,"1,50 mill. €"
Juan Cruz,23,Extremo derecho,España,"1,50 mill. €"
Borja Iglesias,30,Delantero centro,España,"20,00 mill. €"
Willian José,31,Delantero centro,Brasil,"6,00 mill. €"
Loren Morón,29,Delantero centro,España,"2,00 mill. €"
