Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Thibaut Courtois,31,Portero,Bélgica,"45,00 mill. €"
Andriy Lunin,24,Portero,Ucrania,"5,00 mill. €"
Mario de Luis,21,Portero,España,500 mil €
Luis López,22,Portero,España,300 mil €
Lucas Cañizares,21,Portero,España,200 mil €
Diego Piñeiro,19,Portero,España,Desconocido
Fran González,18,Portero,España,Desconocido
Éder Militão,25,Defensa central,Brasil,"70,00 mill. €"
David Alaba,31,Defensa central,Austria,"40,00 mill. €"
Antonio Rüdiger,30,Defensa central,Alemania,"32,00 mill. €"
Nacho Fernández,33,Defensa central,España,"6,00 mill. €"
Jesús Vallejo,26,Defensa central,España,"2,00 mill. €"
Marvel,20,Defensa central,España,"1,00 mill. €"
Ferland Mendy,28,Lateral izquierdo,Francia,"25,00 mill. €"
Daniel Carvajal,31,Lateral derecho,España,"12,00 mill. €"
Lucas Vázquez,31,Lateral derecho,España,"8,00 mill. €"
Álvaro Odriozola,27,Lateral derecho,España,"5,00 mill. €"
Vinícius Tobias,19,Lateral derecho,Brasil,"3,00 mill. €"
Aurélien Tchouaméni,23,Pivote,Francia,"85,00 mill. €"
Casemiro,31,Pivote,Brasil,"40,00 mill. €"
Mario Martín,19,Pivote,España,250 mil €
Federico Valverde,24,Mediocentro,Uruguay,"100,00 mill. €"
Eduardo Camavinga,20,Mediocentro,Francia,"85,00 mill. €"
Toni Kroos,33,Mediocentro,Alemania,"15,00 mill. €"
Dani Ceballos,26,Mediocentro,España,"12,00 mill. €"
Luka Modric,37,Mediocentro,Croacia,"10,00 mill. €"
Carlos Dotor,22,Mediocentro,España,700 mil €
Sergio Arribas,21,Mediocentro ofensivo,España,"5,00 mill. €"
Nico Paz,18,Mediocentro ofensivo,Argentina,"2,00 mill. €"
Vinicius Junior,22,Extremo izquierdo,Brasil,"150,00 mill. €"
Eden Hazard,32,Extremo izquierdo,Bélgica,"5,00 mill. €"
Rodrygo,22,Extremo derecho,Brasil,"100,00 mill. €"
Marco Asensio,27,Extremo derecho,España,"25,00 mill. €"
Karim Benzema,35,Delantero centro,Francia,"25,00 mill. €"
Álvaro Rodríguez,18,Delantero centro,Uruguay,"6,00 mill. €"
Mariano Díaz,29,Delantero centro,República Dominicana,"2,50 mill. €"
