Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Álex Remiro,28,Portero,España,"25,00 mill. €"
Andoni Zubiaurre,26,Portero,España,300 mil €
Unai Marrero,21,Portero,España,250 mil €
Egoitz Arana,21,Portero,España,50 mil €
Robin Le Normand,26,Defensa central,España,"35,00 mill. €"
Igor Zubeldia,26,Defensa central,España,"15,00 mill. €"
Aritz Elustondo,29,Defensa central,España,"14,00 mill. €"
Jon Pacheco,22,Defensa central,España,"6,00 mill. €"
Aritz Arambarri,25,Defensa central,España,500 mil €
Aihen Muñoz,25,Lateral izquierdo,España,"6,00 mill. €"
Diego Rico,30,Lateral izquierdo,España,"3,00 mill. €"
Jonathan Gómez,19,Lateral izquierdo,Estados Unidos,500 mil €
Andoni Gorosabel,26,Lateral derecho,España,"9,00 mill. €"
Martín Zubimendi,24,Pivote,España,"40,00 mill. €"
Asier Illarramendi,33,Pivote,España,"2,00 mill. €"
Urko González de Zarate,22,Pivote,España,700 mil €
Mikel Merino,27,Mediocentro,España,"50,00 mill. €"
Ander Guevara,25,Mediocentro,España,"2,50 mill. €"
Beñat Turrientes,21,Mediocentro,España,"2,00 mill. €"
Jon Ander Olasagasti,22,Mediocentro,España,"1,00 mill. €"
Brais Méndez,26,Mediocentro ofensivo,España,"25,00 mill. €"
David Silva,37,Mediocentro ofensivo,España,"4,00 mill. €"
Robert Navarro,21,Mediocentro ofensivo,España,"3,00 mill. €"
Pablo Marín,19,Mediocentro ofensivo,España,"1,00 mill. €"
Jon Magunazelaia,21,Mediocentro ofensivo,España,700 mil €
Mikel Oyarzabal,26,Extremo izquierdo,España,"40,00 mill. €"
Mohamed-Ali Cho,19,Extremo izquierdo,Francia,"12,00 mill. €"
Ander Barrenetxea,21,Extremo izquierdo,España,"6,00 mill. €"
Martín Merquelanz,28,Extremo izquierdo,España,800 mil €
Takefusa Kubo,22,Extremo derecho,Japón,"25,00 mill. €"
Álex Sola,24,Extremo derecho,España,"3,00 mill. €"
Ander Martín,22,Extremo derecho,España,400 mil €
Alexander Isak,23,Delantero centro,Suecia,"70,00 mill. €"
Umar Sadiq,26,Delantero centro,Nigeria,"18,00 mill. €"
Alexander Sørloth,27,Delantero centro,Noruega,"12,00 mill. €"
Jon Karrikaburu,20,Delantero centro,España,"5,00 mill. €"
Carlos Fernández,27,Delantero centro,España,"3,00 mill. €"
