Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Jordi Masip,34,Portero,España,"1,00 mill. €"
Sergio Asenjo,34,Portero,España,"1,00 mill. €"
Álvaro Aceves,19,Portero,España,200 mil €
Javi Sánchez,26,Defensa central,España,"3,00 mill. €"
Joaquín Fernández,27,Defensa central,España,"3,00 mill. €"
Jawad El Yamiq,31,Defensa central,Marruecos,"2,00 mill. €"
Zouhair Feddal,33,Defensa central,Marruecos,"1,30 mill. €"
Víctor Rofino,20,Defensa central,España,100 mil €
David Torres,20,Defensa central,España,50 mil €
Lucas Olaza,28,Lateral izquierdo,Uruguay,"2,50 mill. €"
Sergio Escudero,33,Lateral izquierdo,España,"1,50 mill. €"
Diego Moreno,21,Lateral izquierdo,España,100 mil €
Iván Fresneda,18,Lateral derecho,España,"15,00 mill. €"
Luis Pérez,28,Lateral derecho,España,"1,50 mill. €"
Lucas Rosa,23,Lateral derecho,Brasil,"1,00 mill. €"
Martin Hongla,25,Pivote,Camerún,"3,00 mill. €"
Mickaël Malsa,27,Pivote,Martinica,"1,50 mill. €"
Monchu,23,Mediocentro,España,"5,00 mill. €"
Kike Pérez,26,Mediocentro,España,"4,50 mill. €"
Álvaro Aguado,27,Mediocentro,España,"3,00 mill. €"
Roque Mesa,34,Mediocentro,España,"2,50 mill. €"
Anuar,28,Mediocentro,Marruecos,900 mil €
Mario Maroto,19,Mediocentro,España,150 mil €
Alberto Quintana,21,Mediocentro,España,100 mil €
Selim Amallah,26,Mediocentro ofensivo,Marruecos,"3,00 mill. €"
Darwin Machís,30,Extremo izquierdo,Venezuela,"3,00 mill. €"
Toni Villa,28,Extremo izquierdo,España,"2,50 mill. €"
Kenedy,27,Extremo izquierdo,Brasil,"1,50 mill. €"
Tunde Akinsola,20,Extremo izquierdo,Nigeria,50 mil €
Gonzalo Plata,22,Extremo derecho,Ecuador,"5,00 mill. €"
Óscar Plano,32,Extremo derecho,España,"3,00 mill. €"
Iván Sánchez,30,Extremo derecho,España,800 mil €
Manuel Pozo,21,Extremo derecho,España,300 mil €
Cyle Larin,28,Delantero centro,Canadá,"8,00 mill. €"
Shon Weissman,27,Delantero centro,Israel,"4,00 mill. €"
Sergi Guardiola,32,Delantero centro,España,"2,00 mill. €"
Sergio León,34,Delantero centro,España,"2,00 mill. €"
Juanjo Narváez,28,Delantero centro,Colombia,800 mil €
Sekou Gassama,28,Delantero centro,Senegal,300 mil €
Iván Cédric,21,Delantero centro,Camerún,300 mil €
Roberto Arroyo,19,Delantero centro,España,300 mil €
