Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Bono,32,Portero,Marruecos,"12,00 mill. €"
Marko Dmitrovic,31,Portero,Serbia,"4,00 mill. €"
Alberto Flores,19,Portero,España,200 mil €
Matías Árbol,20,Portero,España,50 mil €
Marius Herzig,23,Portero,Alemania,Desconocido
Loïc Badé,23,Defensa central,Francia,"12,00 mill. €"
Tanguy Nianzou,21,Defensa central,Francia,"7,50 mill. €"
Marcão,27,Defensa central,Brasil,"7,50 mill. €"
Karim Rekik,28,Defensa central,Países Bajos,"4,00 mill. €"
Nemanja Gudelj,31,Defensa central,Serbia,"4,00 mill. €"
Kike Salas,21,Defensa central,España,"1,00 mill. €"
Marcos Acuña,31,Lateral izquierdo,Argentina,"10,00 mill. €"
Alex Telles,30,Lateral izquierdo,Brasil,"7,50 mill. €"
Pablo Pérez,21,Lateral izquierdo,España,200 mil €
Diego Hormigo,20,Lateral izquierdo,España,100 mil €
Gonzalo Montiel,26,Lateral derecho,Argentina,"12,00 mill. €"
José Ángel Carmona,21,Lateral derecho,España,"4,00 mill. €"
Jesús Navas,37,Lateral derecho,España,"3,00 mill. €"
Pape Gueye,24,Pivote,Senegal,"10,00 mill. €"
Fernando,35,Pivote,Brasil,"3,00 mill. €"
Pedro Ortiz,22,Pivote,España,200 mil €
Joan Jordán,28,Mediocentro,España,"9,00 mill. €"
Óliver Torres,28,Mediocentro,España,"9,00 mill. €"
Ivan Rakitic,35,Mediocentro,Croacia,"4,00 mill. €"
Thomas Delaney,31,Mediocentro,Dinamarca,"2,00 mill. €"
Manu Bueno,18,Mediocentro,España,300 mil €
Xavi Sintes,21,Mediocentro,España,150 mil €
Isco,31,Mediocentro ofensivo,España,"5,00 mill. €"
Carlos Álvarez,19,Mediocentro ofensivo,España,400 mil €
Nacho Quintana,22,Mediocentro ofensivo,España,200 mil €
Lucas Ocampos,28,Extremo izquierdo,Argentina,"12,00 mill. €"
Papu Gómez,35,Extremo izquierdo,Argentina,"3,00 mill. €"
Bryan Gil,22,Extremo derecho,España,"15,00 mill. €"
Erik Lamela,31,Extremo derecho,Argentina,"9,00 mill. €"
Jesús Corona,30,Extremo derecho,México,"8,00 mill. €"
Adnan Januzaj,28,Extremo derecho,Bélgica,"6,00 mill. €"
Suso,29,Extremo derecho,España,"6,00 mill. €"
Munir El Haddadi,27,Extremo derecho,Marruecos,"3,50 mill. €"
Youssef En-Nesyri,26,Delantero centro,Marruecos,"20,00 mill. €"
Rafa Mir,26,Delantero centro,España,"10,00 mill. €"
Kasper Dolberg,25,Delantero centro,Dinamarca,"7,00 mill. €"
Iván Romero,22,Delantero centro,España,800 mil €
