Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Fernando Pacheco,31,Portero,España,"2,50 mill. €"
Fernando Martínez,33,Portero,España,"2,00 mill. €"
Diego Mariño,33,Portero,España,300 mil €
Diego Fuoli,25,Portero,España,200 mil €
Srdjan Babic,27,Defensa central,Serbia,"3,50 mill. €"
Kaiky,19,Defensa central,Brasil,"3,00 mill. €"
Rodrigo Ely,29,Defensa central,Brasil,"3,00 mill. €"
Chumi,24,Defensa central,España,"2,00 mill. €"
Sergio Akieme,25,Lateral izquierdo,España,"7,50 mill. €"
Álex Centelles,23,Lateral izquierdo,España,"1,50 mill. €"
Alejandro Pozo,24,Lateral derecho,España,"3,00 mill. €"
Houboulang Mendes,25,Lateral derecho,Guinea-Bissau,"2,00 mill. €"
Samú Costa,22,Pivote,Portugal,"5,00 mill. €"
Iñigo Eguaras,31,Pivote,España,"1,20 mill. €"
Lucas Robertone,26,Mediocentro,Argentina,"7,00 mill. €"
Gonzalo Melero,29,Mediocentro,España,"4,00 mill. €"
Arnau Puigmal,22,Mediocentro,España,"2,00 mill. €"
Gui Guedes,21,Mediocentro,Portugal,"1,20 mill. €"
César de la Hoz,31,Mediocentro,España,"1,20 mill. €"
Martin Svidersky,20,Mediocentro,Eslovaquia,500 mil €
Marcos Peña,18,Mediocentro,España,Desconocido
Largie Ramazani,22,Extremo izquierdo,Bélgica,"6,00 mill. €"
Lázaro,21,Extremo izquierdo,Brasil,"6,00 mill. €"
José Carlos Lazo,27,Extremo izquierdo,España,"2,50 mill. €"
Adrián Embarba,31,Extremo derecho,España,"2,50 mill. €"
Francisco Portillo,33,Extremo derecho,España,"1,50 mill. €"
Curro Sánchez,27,Extremo derecho,España,"1,00 mill. €"
Arvin Appiah,22,Extremo derecho,Inglaterra,500 mil €
Carlos Rojas,21,Extremo derecho,España,Desconocido
Umar Sadiq,26,Delantero centro,Nigeria,"18,00 mill. €"
El Bilal Touré,21,Delantero centro,Malí,"12,00 mill. €"
Luis Suárez,25,Delantero centro,Colombia,"8,00 mill. €"
Léo Baptistão,30,Delantero centro,Brasil,"1,80 mill. €"
Marko Milovanovic,19,Delantero centro,Serbia,"1,00 mill. €"
Dyego Sousa,33,Delantero centro,Portugal,800 mil €
Marciano Sanca,19,Delantero centro,Guinea-Bissau,Desconocido
