Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Giorgi Mamardashvili,22,Portero,Georgia,"25,00 mill. €"
Jaume Doménech,32,Portero,España,"1,00 mill. €"
Iago Herrerín,35,Portero,España,500 mil €
Emilio Bernad,23,Portero,España,300 mil €
Cristian Rivero,25,Portero,España,200 mil €
Charlie Pérez,21,Portero,España,25 mil €
Mouctar Diakhaby,26,Defensa central,Guinea,"6,00 mill. €"
Cenk Özkacar,22,Defensa central,Turquía,"5,00 mill. €"
Eray Cömert,25,Defensa central,Suiza,"3,50 mill. €"
Gabriel Paulista,32,Defensa central,Brasil,"2,50 mill. €"
Cristhian Mosquera,19,Defensa central,España,"1,00 mill. €"
Rubén Iranzo,20,Defensa central,España,200 mil €
José Gayà,28,Lateral izquierdo,España,"30,00 mill. €"
Jesús Vázquez,20,Lateral izquierdo,España,"3,00 mill. €"
Toni Lato,25,Lateral izquierdo,España,"2,50 mill. €"
Thierry Correia,24,Lateral derecho,Portugal,"8,00 mill. €"
Dimitri Foulquier,30,Lateral derecho,Guadalupe,"2,50 mill. €"
Hugo Guillamón,23,Pivote,España,"14,00 mill. €"
Uroš Račić,25,Pivote,Serbia,"6,50 mill. €"
Carlos Soler,26,Mediocentro,España,"25,00 mill. €"
André Almeida,23,Mediocentro,Portugal,"20,00 mill. €"
Yunus Musah,20,Mediocentro,Estados Unidos,"18,00 mill. €"
Nico González,21,Mediocentro,España,"10,00 mill. €"
Ilaix Moriba,20,Mediocentro,Guinea,"4,00 mill. €"
Javi Guerra,20,Mediocentro,España,"2,00 mill. €"
Koba Koindredi,21,Mediocentro,Francia,"1,00 mill. €"
Tiago Ribeiro,21,Mediocentro,Portugal,200 mil €
Yellu Santiago,19,Mediocentro,España,100 mil €
Samuel Lino,23,Extremo izquierdo,Brasil,"16,00 mill. €"
Justin Kluivert,24,Extremo izquierdo,Países Bajos,"14,00 mill. €"
Diego López,21,Extremo izquierdo,España,"1,50 mill. €"
Samu Castillejo,28,Extremo derecho,España,"6,00 mill. €"
Fran Pérez,20,Extremo derecho,España,500 mil €
Manu Vallejo,26,Mediapunta,España,"2,40 mill. €"
Maxi Gómez,26,Delantero centro,Uruguay,"7,00 mill. €"
Hugo Duro,23,Delantero centro,España,"4,00 mill. €"
Edinson Cavani,36,Delantero centro,Uruguay,"3,00 mill. €"
Marcos André,26,Delantero centro,Brasil,"2,50 mill. €"
Alberto Marí,21,Delantero centro,España,800 mil €
Mario Dominguez,19,Delantero centro,España,25 mil €
