Nombre,Edad,Posición,Nacionalidad,Valor_Mercado
Gerónimo Rulli,31,Portero,Argentina,"10,00 mill. €"
Filip Jørgensen,21,Portero,Dinamarca,"1,50 mill. €"
Pepe Reina,40,Portero,España,700 mil €
Iker Álvarez,21,Portero,Andorra,500 mil €
Gianni Cassaro,31,Portero,España,100 mil €
Pau Torres,26,Defensa central,España,"45,00 mill. €"
Jorge Cuenca,23,Defensa central,España,"5,00 mill. €"
Aïssa Mandi,31,Defensa central,Argelia,"3,00 mill. €"
Mamadou Mbacke,20,Defensa central,Senegal,"2,80 mill. €"
Raúl Albiol,37,Defensa central,España,"2,50 mill. €"
Adrián de la Fuente,24,Defensa central,España,800 mil €
Pervis Estupiñán,25,Lateral izquierdo,Ecuador,"32,00 mill. €"
Alfonso Pedraza,27,Lateral izquierdo,España,"15,00 mill. €"
Johan Mojica,30,Lateral izquierdo,Colombia,"3,00 mill. €"
Alberto Moreno,30,Lateral izquierdo,España,"3,00 mill. €"
Dani Tasende,22,Lateral izquierdo,España,700 mil €
Carlos Romero,21,Lateral izquierdo,España,100 mil €
Juan Foyth,25,Lateral derecho,Argentina,"25,00 mill. €"
Kiko Femenía,32,Lateral derecho,España,"2,50 mill. €"
Sergio Carreira,22,Lateral derecho,España,"1,50 mill. €"
Marcos Sánchez,19,Lateral derecho,España,Desconocido
Ramón Terrats,22,Pivote,España,"4,00 mill. €"
Étienne Capoue,34,Pivote,Francia,"3,00 mill. €"
Francis Coquelin,32,Pivote,Francia,"3,00 mill. €"
Dani Parejo,34,Mediocentro,España,"6,00 mill. €"
Manu Morlanes,24,Mediocentro,España,"4,00 mill. €"
Manu Trigueros,31,Mediocentro,España,"4,00 mill. €"
Alberto del Moral,22,Mediocentro,España,"1,00 mill. €"
Antonio Pacheco,21,Mediocentro,España,400 mil €
Rodri Alonso,20,Mediocentro,España,100 mil €
Álex Baena,21,Mediocentro ofensivo,España,"20,00 mill. €"
Giovani Lo Celso,27,Mediocentro ofensivo,Argentina,"14,00 mill. €"
Carlo García,22,Mediocentro ofensivo,España,800 mil €
Arnaut Danjuma,26,Extremo izquierdo,Países Bajos,"25,00 mill. €"
Diego Collado,22,Extremo izquierdo,España,"1,00 mill. €"
Yéremy Pino,20,Extremo derecho,España,"40,00 mill. €"
Samuel Chukwueze,24,Extremo derecho,Nigeria,"25,00 mill. €"
Haissem Hassan,21,Extremo derecho,Francia,"1,50 mill. €"
Nicolas Jackson,22,Delantero centro,Senegal,"30,00 mill. €"
Gerard Moreno,31,Delantero centro,España,"20,00 mill. €"
Fer Niño,22,Delantero centro,España,"3,00 mill. €"
José Luis Morales,35,Delantero centro,España,"3,00 mill. €"
Jorge Pascual,20,Delantero centro,España,Desconocido
